component_type,manufacturer,website,email,phone_cn,wordstat_monthly_queries,notes
AI accelerators / GPUs,Huawei (Ascend),https://www.huawei.com,enquiry via contact form,+86 755 28780808,AUTH_REQUIRED,"Huawei contact-us page; Wordstat needs Yandex login after query"
AI accelerators / GPUs,Cambricon,https://www.cambricon.com,not publicly listed on fetched sources,not publicly listed,AUTH_REQUIRED,"Official site found; contact details not exposed in quick crawl"
AI accelerators / GPUs,Biren Technology,https://www.birentech.com,business@birentech.com,+86 21-68773133,AUTH_REQUIRED,"Contact from Crunchbase snippet"
AI accelerators / GPUs,Iluvatar CoreX,https://www.iluvatar.com,not publicly listed on fetched sources,not publicly listed,AUTH_REQUIRED,"Official/global contact not exposed in quick crawl"
AI accelerators / GPUs,Enflame,https://www.enflame-tech.com,not publicly listed on fetched sources,not publicly listed,AUTH_REQUIRED,"Official/global contact not exposed in quick crawl"
Server OEM/ODM,Inspur,https://www.inspur.com,sales@inspursystems.com,1-800-697-5893,AUTH_REQUIRED,"Public phone/email found for Inspur Systems (US entity)"
Server OEM/ODM,H3C,https://www.h3c.com,[email protected] / [email protected],+86-571-86763000,AUTH_REQUIRED,"From H3C HQ contact page"
Server OEM/ODM,Lenovo (Infrastructure in CN),https://support.lenovo.com/cn/en/contact-us,via contact channels,400-116-0099 / +86 21 6132 8000,AUTH_REQUIRED,"CN sales/support phones from Lenovo-related contact pages"
CPU (server/general),Loongson,https://www.loongson.cn,service@loongson.cn,not publicly listed,AUTH_REQUIRED,"Email from Crunchbase snippet"
CPU (server/general),Phytium,https://www.phytium.com.cn,not publicly listed on fetched sources,not publicly listed,AUTH_REQUIRED,"Official site found; direct public contact not captured"
Memory (DRAM),CXMT,https://www.cxmt.com,info@cxmt.com / sales@cxmt.com,not publicly listed,AUTH_REQUIRED,"From CXMT official pages/snippets"
Memory (NAND),YMTC,https://www.ymtc.com,YMTC@ymtc.com,+86 27 87906000,AUTH_REQUIRED,"Contact details from public business listing snippet"
Optical interconnect,InnoLight,https://www.innolight.com,sales@innolight.com / contact@innolight.com,+86 512-8666 9288,AUTH_REQUIRED,"From InnoLight contact/news pages"
Optical interconnect,Eoptolink,https://www.eoptolink.com,not publicly listed (JS-protected on site),not publicly listed,AUTH_REQUIRED,"Contact email obfuscated on site"
